[20:59:58] UDP debugger initialized OK
[20:59:58] Initialized telemetry.
[20:59:58] Initialized sensor.
[20:59:58] Initialized chute pin.
[20:59:58] Entering program loop.
[20:59:58] Sent heartbeat (0)
[20:59:59] Sent heartbeat (0)
[21:00:00] Sent heartbeat (0)
[21:00:01] Sent heartbeat (0)
[21:00:02] Sent heartbeat (0)
[21:00:03] Sent heartbeat (0)
[21:00:04] Sent heartbeat (0)
[21:00:05] Sent heartbeat (0)
[21:00:06] Sent heartbeat (0)
[21:00:07] Sent heartbeat (0)
[21:00:08] Sent heartbeat (0)
[21:00:09] Sent heartbeat (0)
[21:00:10] New state read (3).
[21:00:10] Armed
[21:00:10] Started logging
[21:00:10] [0.064416885376] Data read
[21:00:10] [0.076534986496] Data read
[21:00:10] [0.0881769657135] Data read
[21:00:10] [0.100394010544] Data read
[21:00:10] [0.111904859543] Data read
[21:00:10] [0.124620914459] Data read
[21:00:10] [0.136258840561] Data read
[21:00:10] [0.148357868195] Data read
[21:00:10] [0.160312891006] Data read
[21:00:10] [0.173275947571] Data read
[21:00:10] [0.184198856354] Data read
[21:00:10] [0.196207046509] Data read
[21:00:10] [0.207788944244] Data read
[21:00:10] [0.220383882523] Data read
[21:00:10] [0.232147932053] Data read
[21:00:10] [0.244145870209] Data read
[21:00:10] [0.256052017212] Data read
[21:00:10] [0.268322944641] Data read
[21:00:10] [0.279618024826] Data read
[21:00:10] [0.292320966721] Data read
[21:00:10] [0.303660869598] Data read
[21:00:10] [0.316112995148] Data read
[21:00:10] [0.328757047653] Data read
[21:00:10] [0.340270042419] Data read
[21:00:10] [0.351963996887] Data read
[21:00:10] [0.364672899246] Data read
[21:00:10] [0.376010894775] Data read
[21:00:10] [0.388087034225] Data read
[21:00:10] [0.399528980255] Data read
[21:00:10] [0.411952018738] Data read
[21:00:10] [0.423843860626] Data read
[21:00:10] [0.43626999855] Data read
[21:00:10] [0.447671890259] Data read
[21:00:10] [0.460129976273] Data read
[21:00:10] [0.472048044205] Data read
[21:00:10] [0.484241008759] Data read
[21:00:10] [0.495729923248] Data read
[21:00:10] [0.508724927902] Data read
[21:00:10] [0.519513845444] Data read
[21:00:10] [0.531898975372] Data read
[21:00:10] [0.543303012848] Data read
[21:00:10] [0.556087017059] Data read
[21:00:10] [0.56768989563] Data read
[21:00:10] [0.580233812332] Data read
[21:00:10] [0.591459989548] Data read
[21:00:10] Sent heartbeat (3)
[21:00:10] [0.603982925415] Data read
[21:00:11] [0.615707874298] Data read
[21:00:11] [0.627718925476] Data read
[21:00:11] [0.639740943909] Data read
[21:00:11] [0.652036905289] Data read
[21:00:11] [0.663619041443] Data read
[21:00:11] [0.67607998848] Data read
[21:00:11] [0.687479019165] Data read
[21:00:11] [0.699542045593] Data read
[21:00:11] [0.711474895477] Data read
[21:00:11] [0.723739862442] Data read
[21:00:11] [0.735570907593] Data read
[21:00:11] [0.747681856155] Data read
[21:00:11] [0.759122848511] Data read
[21:00:11] [0.771458864212] Data read
[21:00:11] [0.783185958862] Data read
[21:00:11] [0.795732975006] Data read
[21:00:11] [0.806985855103] Data read
[21:00:11] [0.819442033768] Data read
[21:00:11] [0.831210851669] Data read
[21:00:11] [0.843720912933] Data read
[21:00:11] [0.855015039444] Data read
[21:00:11] [0.867499828339] Data read
[21:00:11] [0.878957986832] Data read
[21:00:11] [0.891326904297] Data read
[21:00:11] [0.903053045273] Data read
[21:00:11] [0.915555953979] Data read
[21:00:11] [0.926966905594] Data read
[21:00:11] [0.939501047134] Data read
[21:00:11] [0.95080780983] Data read
[21:00:11] [0.963502883911] Data read
[21:00:11] [0.974864959717] Data read
[21:00:11] [0.987371921539] Data read
[21:00:11] [0.999290943146] Data read
[21:00:11] [1.01122498512] Data read
[21:00:11] [1.02315998077] Data read
[21:00:11] [1.03512787819] Data read
[21:00:11] [1.04785203934] Data read
[21:00:11] [1.05908703804] Data read
[21:00:11] [1.07104897499] Data read
[21:00:11] [1.0833530426] Data read
[21:00:11] [1.09467792511] Data read
[21:00:11] [1.10753798485] Data read
[21:00:11] [1.11894583702] Data read
[21:00:11] [1.13136196136] Data read
