0.0644891262054,	0,	1.5075981617,	-1.1786544323,	1.35417556763,	10.0695981979,	1.94873321056,	7.47546482086,	3.11847901344,	1.28710639477,	0.0814513042569,	0.00167155265808,	0.00396632449701,	-0.00169570092112
0.0762460231781,	0,	1.50766348839,	-1.17853760719,	1.35399127007,	18.1252765656,	3.50771975517,	13.4558362961,	3.08905959129,	1.29725706577,	0.0731681212783,	0.000592697411776,	0.00283216917887,	0.000422321259975
0.0883610248566,	0,	1.50743460655,	-1.17852950096,	1.35382461548,	23.9803390503,	4.06945800781,	18.519733429,	3.10278868675,	1.29116666317,	0.0855928957462,	0.000578414648771,	0.00587966758758,	0.00456646922976
0.100137233734,	0,	1.50738298893,	-1.17843985558,	1.35332989693,	28.664390564,	4.51884889603,	22.5708503723,	3.09494352341,	1.29218173027,	0.080070771277,	0.00160305574536,	0.00366082647815,	-0.000736472196877
0.112199068069,	0,	1.50714588165,	-1.17835044861,	1.35326492786,	32.4121856689,	5.42669439316,	25.533197403,	3.08317565918,	1.28000092506,	0.0897344872355,	0.00156442821026,	0.00461119506508,	-0.00383446924388
0.12451004982,	0,	1.50707232952,	-1.17821395397,	1.3531703949,	35.4104194641,	6.15297079086,	27.9030742645,	3.10671138763,	1.29522693157,	0.0828318372369,	0.00152673199773,	0.00346150062978,	-0.00581923499703
0.136548042297,	0,	1.50699663162,	-1.17814016342,	1.3527380228,	38.5446586609,	6.32591724396,	29.664308548,	3.08121418953,	1.28507626057,	0.0828318372369,	0.00252852588892,	0.00337809091434,	-0.000486106611788
0.14821600914,	0,	1.50693273544,	-1.17809987068,	1.35204911232,	41.0520515442,	6.46427440643,	31.0732975006,	3.1106338501,	1.29827213287,	0.080070771277,	0.00142901390791,	0.0043352721259,	0.0026413500309
0.162198066711,	0,	1.50691258907,	-1.17809355259,	1.3517793417,	42.1753616333,	7.25606489182,	32.3332862854,	3.10278868675,	1.28913652897,	0.078690238297,	0.00139458104968,	0.00319222640246,	0.00257770344615
0.17189002037,	0,	1.50670623779,	-1.17801809311,	1.35195374489,	43.0740127563,	7.88949728012,	33.3412742615,	3.10867261887,	1.29421186447,	0.0897344872355,	0.0013609752059,	0.00415388634428,	-0.0016387347132
