0.065798997879,	0,	0.00569697655737,	-0.00687964074314,	-1.74419760704,	-1.12573730946,	7.08760595322,	14.6571292877,	0.0196130760014,	0.0162410903722,	2.85079550743,	0.0188800655305,	0.0241193529218,	0.0147895365953
0.0795500278473,	0,	0.00592845957726,	-0.00664129108191,	-1.74346709251,	-1.59066998959,	12.4925098419,	25.9792366028,	0.0225550383329,	0.021823965013,	2.84941506386,	0.0163479615003,	0.0219802949578,	0.0139138726518
0.0913989543915,	0,	0.00612114695832,	-0.00641899975017,	-1.74245047569,	-1.96261608601,	16.8164329529,	35.0369224548,	0.0205937307328,	0.0203013624996,	2.85079550743,	0.0143961617723,	0.0198927763849,	0.0187715049833
0.102119922638,	0,	0.00632435083389,	-0.00618511298671,	-1.74111628532,	-2.11479854584,	20.4089851379,	42.4172401428,	0.0166711155325,	0.0238541010767,	2.84596371651,	0.0135299768299,	0.0188941415399,	0.0209156330675
0.113750934601,	0,	0.00645305402577,	-0.0059880875051,	-1.7396620512,	-2.23654437065,	23.2830276489,	48.3214950562,	0.0176517684013,	0.015226021409,	2.85217618942,	0.0126846628264,	0.0168809909374,	0.0204116422683
0.126458883286,	0,	0.00660929596052,	-0.00583837553859,	-1.73848903179,	-2.62476611137,	25.3124771118,	53.1819381714,	0.0205937307328,	0.0172561574727,	2.84734416008,	0.0139368791133,	0.0149163473397,	0.0162847600877
0.138505935669,	0,	0.00679973978549,	-0.00564190465957,	-1.73736274242,	-2.93534350395,	26.9360351562,	57.0702934265,	0.0147098070011,	0.0197938270867,	2.85079550743,	0.0156782139093,	0.0155954994261,	0.0164116472006
0.149881839752,	0,	0.0069929426536,	-0.00540554942563,	-1.73622441292,	-3.03835487366,	28.3712539673,	59.9097671509,	0.0156904608011,	0.0213164296001,	2.84872484207,	0.0153004247695,	0.0198933202773,	0.017574056983
0.16210603714,	0,	0.00712054874748,	-0.0051723010838,	-1.73488891125,	-3.12076401711,	29.5194282532,	62.1813468933,	0.00490326900035,	0.017763691023,	2.84320259094,	0.012335287407,	0.0137017648667,	0.0197470393032
0.174273967743,	0,	0.00727949058637,	-0.00509579665959,	-1.73375499249,	-3.33181834221,	30.5730895996,	63.8625793457,	0.0147098070011,	0.0228390321136,	2.84389305115,	0.0120380511507,	0.00662082619965,	0.0234255306423
