0.064297914505,	0,	0.108938924968,	-0.0648390650749,	2.61733174324,	-8.34703063965,	-15.4553050995,	37.8228416443,	-0.714929640293,	-2.60982608795,	-1.52612650394,	0.285392165184,	0.553954303265,	0.288855075836
0.0767228603363,	0,	0.157189041376,	-0.0110701089725,	2.59279322624,	-13.4770536423,	-17.2406692505,	27.8391075134,	-0.701272904873,	-2.47718381882,	-1.59757876396,	0.18535502255,	0.559275448322,	0.305350571871
0.0879120826721,	0,	0.206763371825,	0.03930574283,	2.57228899002,	-17.5810718536,	-18.6689605713,	19.8521213531,	-0.68192589283,	-2.33737158775,	-1.54554283619,	0.0895747616887,	0.501807272434,	0.31865337491
0.100303888321,	0,	0.258022546768,	0.0852961167693,	2.55551815033,	-21.0095882416,	-19.8127098083,	13.5976848602,	-0.665765404701,	-2.24774837494,	-1.48496377468,	0.0124184368178,	0.388467311859,	0.355369150639
0.112232923508,	0,	0.309964001179,	0.126562133431,	2.54314041138,	-23.7524013519,	-20.7277107239,	8.59413528442,	-0.658937036991,	-1.99142622948,	-1.49117708206,	-0.0402607060969,	0.253310710192,	0.381974756718
0.124564886093,	0,	0.362176716328,	0.163624703884,	2.53450846672,	-25.9466018677,	-21.4577388763,	4.32104158401,	-0.668496727943,	-1.8085950613,	-1.53777635098,	-0.0578204207122,	0.131989061832,	0.406451940536
0.135917901993,	0,	0.413735330105,	0.197447180748,	2.52941966057,	-27.7019615173,	-22.0417613983,	0.902566552162,	-0.685795247555,	-1.573782444,	-1.5921421051,	-0.0386643670499,	0.048979498446,	0.434653908014
0.148313999176,	0,	0.465442329645,	0.228958949447,	2.52737236023,	-28.9607524872,	-22.2413005829,	-1.69897460938,	-0.694216907024,	-1.46981954575,	-1.6449546814,	0.00443674903363,	0.0218417607248,	0.471901774406
0.160279989243,	0,	0.517665207386,	0.259056955576,	2.52715039253,	-29.9677848816,	-22.4009304047,	-3.78020763397,	-0.696720659733,	-1.36944162846,	-1.59291875362,	0.0730792731047,	0.0473831631243,	0.467112779617
0.172582864761,	0,	0.571919441223,	0.287690281868,	2.52851963043,	-30.7733592987,	-22.5266628265,	-5.71544790268,	-0.696265399456,	-1.41604566574,	-1.55719268322,	0.153960376978,	0.0910163894296,	0.472433894873
0.183872938156,	0,	0.62786668539,	0.314786165953,	2.53150606155,	-31.4178199768,	-22.627248764,	-7.26364040375,	-0.687388539314,	-1.4017059803,	-1.47719728947,	0.233245149255,	0.131989061832,	0.488929390907
0.196305036545,	0,	0.684281885624,	0.340611994267,	2.53618264198,	-32.0787124634,	-22.709821701,	-8.23191452026,	-0.671455681324,	-1.29236578941,	-1.3863286972,	0.302419781685,	0.162851572037,	0.505957007408
0.207851886749,	0,	0.739892601967,	0.365686535835,	2.54291963577,	-32.6074295044,	-22.7758789062,	-9.00653362274,	-0.67350423336,	-1.14896869659,	-1.3754554987,	0.375319212675,	0.193714112043,	0.51393866539
0.224577903748,	0,	0.79607629776,	0.389995902777,	2.5519464016,	-33.320930481,	-22.828004837,	-9.76130485535,	-0.683063924313,	-1.15434610844,	-1.4818571806,	0.453539729118,	0.240540027618,	0.489461511374
0.23238492012,	0,	0.854624211788,	0.413331329823,	2.56171822548,	-33.8917312622,	-22.8697052002,	-10.3651218414,	-0.688299000263,	-1.27802610397,	-1.46632409096,	0.518989562988,	0.296943932772,	0.4256080091
0.244426965714,	0,	0.914692878723,	0.435430139303,	2.57260370255,	-34.3484420776,	-23.0353603363,	-11.1174974442,	-0.690575122833,	-1.35330951214,	-1.4360345602,	0.548255801201,	0.345898300409,	0.391552805901
0.256057977676,	0,	0.976018309593,	0.456174761057,	2.58494734764,	-34.7138137817,	-23.1678848267,	-11.7193984985,	-0.691713213921,	-1.50387632847,	-1.47719728947,	0.529099702835,	0.38580673933,	0.349515914917
0.268189907074,	0,	1.0373903513,	0.476041972637,	2.59858489037,	-34.860534668,	-22.8739280701,	-11.7983579636,	-0.708784103394,	-1.67953777313,	-1.58204567432,	0.46684256196,	0.415072917938,	0.271295368671
0.280055999756,	0,	1.09777975082,	0.495036005974,	2.61301636696,	-34.9779129028,	-22.6387634277,	-11.8615255356,	-0.721075117588,	-1.84085941315,	-1.67835080624,	0.355631023645,	0.40655913949,	0.182964682579
0.292448043823,	0,	1.15837144852,	0.512041091919,	2.62709140778,	-35.2172660828,	-22.5870018005,	-11.6408491135,	-0.738828897476,	-2.12586092949,	-1.62553822994,	0.224199235439,	0.344834059477,	0.128689214587
0.303917884827,	0,	1.21653342247,	0.526957571507,	2.64152479172,	-35.4087486267,	-22.5455913544,	-11.464307785,	-0.737690806389,	-2.19755959511,	-1.73892986774,	0.116712503135,	0.233090430498,	0.182964682579
0.316349029541,	0,	1.27184462547,	0.539814412594,	2.65508532524,	-35.416683197,	-22.6426563263,	-11.8626766205,	-0.75726544857,	-2.0631248951,	-1.71718358994,	0.0438130758703,	0.113365121186,	0.241497069597
0.327965974808,	0,	1.32322335243,	0.551610469818,	2.66691732407,	-35.4230308533,	-22.7203083038,	-12.1813716888,	-0.774108767509,	-1.67236793041,	-1.56340587139,	0.0267854742706,	-0.00210330449045,	0.289919286966
0.340252876282,	0,	1.37028801441,	0.562716543674,	2.67865395546,	-35.5732841492,	-22.6492805481,	-12.3021068573,	-0.789131164551,	-1.30849790573,	-1.57971560955,	0.0890426486731,	-0.0856449753046,	0.380378425121
0.352016925812,	0,	1.41673707962,	0.572928786278,	2.69110274315,	-35.6934890747,	-22.592458725,	-12.3986949921,	-0.809388637543,	-1.21708226204,	-1.64573132992,	0.203446850181,	-0.0941587761045,	0.422947436571
0.364456892014,	0,	1.46306979656,	0.582740724087,	2.70460963249,	-36.0801811218,	-22.5462799072,	-12.611041069,	-0.818948328495,	-1.07547771931,	-1.60456860065,	0.327429056168,	-0.0324337184429,	0.433589696884
0.375717878342,	0,	1.50932216644,	0.591553986073,	2.72044897079,	-36.3895339966,	-22.5093364716,	-12.7809181213,	-0.845578968525,	-0.958967626095,	-1.66747760773,	0.433851569891,	0.0793099105358,	0.485736727715
0.388383865356,	0,	1.55480992794,	0.598902702332,	2.7395825386,	-36.3464889526,	-22.4805030823,	-12.7817440033,	-0.871299147606,	-0.80123090744,	-1.7692193985,	0.490255504847,	0.232026219368,	0.560764610767
